F;h;t;HM u;h(corr);HM
    0,416;    0,022;      0,1;  31849,7;    0,047;   7143,0
    0,458;    0,024;      0,2;  30833,2;    0,049;   7179,8
    0,502;    0,025;      0,3;  29388,3;    0,052;   7124,2
    0,548;    0,027;      0,4;  29139,8;    0,053;   7259,7
    0,597;    0,028;      0,5;  28546,8;    0,056;   7323,2
    0,647;    0,030;      0,6;  27421,2;    0,058;   7271,1
    0,699;    0,032;      0,7;  26599,9;    0,060;   7258,6
    0,754;    0,033;      0,8;  26209,8;    0,062;   7319,9
    0,810;    0,035;      0,9;  25726,1;    0,065;   7350,0
    0,869;    0,036;      1,0;  25133,7;    0,067;   7344,1
    0,930;    0,038;      1,1;  24972,7;    0,069;   7424,4
    0,993;    0,039;      1,2;  24555,2;    0,071;   7437,1
    1,058;    0,040;      1,3;  24408,3;    0,073;   7505,4
    1,125;    0,042;      1,4;  24127,8;    0,075;   7534,9
    1,194;    0,044;      1,5;  23308,9;    0,078;   7421,2
    1,265;    0,046;      1,6;  22966,7;    0,080;   7419,9
    1,338;    0,047;      1,7;  22809,5;    0,082;   7462,1
    1,414;    0,048;      1,8;  22770,4;    0,084;   7533,8
    1,491;    0,050;      1,9;  22885,0;    0,086;   7645,6
    1,571;    0,051;      2,0;  23007,8;    0,088;   7760,5
    1,653;    0,052;      2,1;  22843,0;    0,090;   7799,8
    1,736;    0,054;      2,2;  22641,5;    0,092;   7831,9
    1,822;    0,055;      2,3;  22407,4;    0,094;   7859,8
    1,910;    0,057;      2,4;  22275,1;    0,096;   7921,0
    2,000;    0,058;      2,5;  22222,5;    0,097;   7990,9
    2,093;    0,060;      2,6;  22216,3;    0,099;   8072,8
    2,187;    0,061;      2,7;  22057,2;    0,101;   8109,0
    2,283;    0,063;      2,8;  22004,7;    0,103;   8172,8
    2,382;    0,064;      2,9;  22108,7;    0,104;   8280,1
    2,482;    0,065;      3,0;  22001,2;    0,106;   8323,9
    2,585;    0,067;      3,1;  22101,6;    0,108;   8427,6
    2,690;    0,068;      3,2;  22217,3;    0,109;   8534,9
    2,797;    0,069;      3,3;  22284,5;    0,111;   8626,6
    2,905;    0,070;      3,4;  22286,1;    0,112;   8697,0
    3,016;    0,071;      3,5;  22375,2;    0,114;   8793,1
    3,130;    0,073;      3,6;  22248,6;    0,116;   8820,8
    3,245;    0,075;      3,7;  22043,9;    0,118;   8821,3
    3,362;    0,076;      3,8;  21897,2;    0,120;   8837,9
    3,482;    0,078;      3,9;  21718,3;    0,122;   8841,7
    3,603;    0,079;      4,0;  21577,9;    0,124;   8856,0
    3,727;    0,081;      4,1;  21435,3;    0,126;   8867,4
    3,852;    0,083;      4,2;  21335,8;    0,128;   8891,5
    3,980;    0,084;      4,3;  21225,4;    0,130;   8910,1
    4,110;    0,086;      4,4;  21113,5;    0,132;   8926,7
    4,242;    0,087;      4,5;  21018,5;    0,134;   8947,6
    4,376;    0,089;      4,6;  20894,5;    0,136;   8956,8
    4,512;    0,091;      4,7;  20826,7;    0,138;   8984,2
    4,650;    0,092;      4,8;  20736,1;    0,140;   9002,4
    4,791;    0,094;      4,9;  20624,4;    0,142;   9011,6
    4,933;    0,095;      5,0;  20522,1;    0,144;   9022,9
    5,078;    0,097;      5,1;  20377,3;    0,146;   9017,5
    5,224;    0,099;      5,2;  20197,5;    0,148;   8997,7
    5,373;    0,101;      5,3;  20042,4;    0,150;   8985,4
    5,524;    0,102;      5,4;  19909,0;    0,153;   8979,7
    5,677;    0,104;      5,5;  19833,7;    0,155;   8994,4
    5,832;    0,106;      5,6;  19719,1;    0,157;   8993,2
    5,988;    0,107;      5,7;  19638,6;    0,159;   9003,8
    6,148;    0,109;      5,8;  19586,4;    0,161;   9024,3
    6,309;    0,111;      5,9;  19476,7;    0,163;   9021,9
    6,472;    0,112;      6,0;  19418,9;    0,165;   9038,6
    6,638;    0,114;      6,1;  19343,3;    0,167;   9047,4
    6,805;    0,116;      6,2;  19294,0;    0,169;   9065,8
    6,975;    0,117;      6,3;  19222,6;    0,171;   9074,6
    7,147;    0,119;      6,4;  19130,9;    0,173;   9074,7
    7,321;    0,121;      6,5;  19059,8;    0,175;   9082,1
    7,496;    0,122;      6,6;  18995,0;    0,177;   9091,3
    7,674;    0,124;      6,7;  18932,2;    0,179;   9100,5
    7,855;    0,126;      6,8;  18854,4;    0,181;   9103,0
    8,037;    0,127;      6,9;  18803,6;    0,183;   9115,7
    8,221;    0,129;      7,0;  18725,4;    0,185;   9116,6
    8,408;    0,131;      7,1;  18645,8;    0,187;   9116,2
    8,596;    0,132;      7,2;  18607,3;    0,189;   9132,1
    8,787;    0,134;      7,3;  18512,3;    0,191;   9124,0
    8,979;    0,136;      7,4;  18453,7;    0,193;   9130,4
    9,174;    0,137;      7,5;  18385,6;    0,195;   9132,1
    9,371;    0,139;      7,6;  18356,1;    0,197;   9149,6
    9,570;    0,141;      7,7;  18312,7;    0,199;   9160,8
    9,771;    0,142;      7,8;  18259,7;    0,201;   9167,3
