F;h;t;HM u;h(corr);HM
    0,416;    0,123;      0,1;   1042,5;    0,162;    601,2
    0,636;    0,169;      0,2;    845,5;    0,214;    524,9
    0,904;    0,215;      0,3;    740,7;    0,266;    482,8
    1,221;    0,263;      0,4;    670,3;    0,319;    453,1
    1,586;    0,339;      0,5;    523,5;    0,403;    369,1
    1,999;    0,422;      0,6;    424,3;    0,495;    309,3
    2,462;    0,472;      0,7;    417,5;    0,549;    309,1
    2,972;    0,521;      0,8;    413,9;    0,602;    310,5
    3,532;    0,571;      0,9;    410,5;    0,655;    311,6
    4,140;    0,609;      1,0;    421,9;    0,696;    322,9
    4,797;    0,651;      1,1;    428,1;    0,741;    330,3
    5,502;    0,686;      1,2;    442,2;    0,779;    343,3
    6,256;    0,719;      1,3;    457,5;    0,814;    357,1
    7,058;    0,757;      1,4;    466,6;    0,854;    366,3
    7,909;    0,811;      1,5;    454,9;    0,912;    359,8
    8,808;    0,866;      1,6;    444,4;    0,970;    354,0
    9,755;    0,908;      1,7;    447,5;    1,015;    358,2
   10,752;    0,948;      1,8;    452,6;    1,057;    363,9
   11,796;    0,990;      1,9;    455,5;    1,102;    367,8
   12,890;    1,028;      2,0;    461,3;    1,142;    373,8
   14,031;    1,068;      2,1;    465,1;    1,185;    378,3
   15,222;    1,106;      2,2;    471,0;    1,224;    384,3
   16,460;    1,143;      2,3;    476,6;    1,264;    390,0
   17,748;    1,179;      2,4;    482,8;    1,302;    396,3
   19,084;    1,216;      2,5;    488,2;    1,340;    401,8
   20,468;    1,255;      2,6;    492,0;    1,381;    405,9
   21,901;    1,297;      2,7;    492,3;    1,426;    407,3
   23,382;    1,338;      2,8;    494,1;    1,469;    409,9
   24,912;    1,378;      2,9;    496,5;    1,511;    412,9
   26,490;    1,418;      3,0;    498,1;    1,554;    415,2
   28,116;    1,475;      3,1;    489,1;    1,613;    409,0
   29,790;    1,582;      3,2;    450,2;    1,726;    378,5
   31,513;    1,646;      3,3;    440,1;    1,792;    371,1
   33,285;    1,692;      3,4;    440,0;    1,840;    371,7
   35,106;    1,735;      3,5;    441,1;    1,886;    373,4
   36,975;    1,781;      3,6;    440,9;    1,934;    373,9
   38,893;    1,830;      3,7;    439,3;    1,985;    373,3
   40,859;    1,877;      3,8;    438,8;    2,034;    373,5
   42,874;    1,925;      3,9;    437,8;    2,084;    373,3
   44,937;    1,973;      4,0;    436,8;    2,135;    373,1
   47,048;    2,027;      4,1;    433,2;    2,191;    370,7
   49,208;    2,077;      4,2;    431,5;    2,244;    369,8
   51,417;    2,125;      4,3;    430,9;    2,293;    369,9
   53,674;    2,174;      4,4;    429,8;    2,344;    369,5
   55,980;    2,224;      4,5;    428,4;    2,396;    368,8
   58,334;    2,273;      4,6;    427,3;    2,447;    368,4
   60,736;    2,324;      4,7;    425,6;    2,500;    367,5
   63,188;    2,376;      4,8;    423,4;    2,555;    366,2
   65,687;    2,430;      4,9;    420,9;    2,611;    364,5
   68,235;    2,482;      5,0;    419,1;    2,665;    363,5
   70,832;    2,532;      5,1;    418,0;    2,717;    363,0
   73,477;    2,582;      5,2;    417,0;    2,769;    362,6
   76,170;    2,634;      5,3;    415,3;    2,823;    361,6
   78,912;    2,687;      5,4;    413,5;    2,877;    360,6
   81,703;    2,736;      5,5;    413,1;    2,928;    360,6
   84,542;    2,785;      5,6;    412,2;    2,979;    360,3
   87,430;    2,837;      5,7;    410,9;    3,033;    359,6
   90,366;    2,889;      5,8;    409,7;    3,086;    359,0
   93,350;    2,943;      5,9;    407,7;    3,142;    357,7
   96,383;    3,003;      6,0;    404,4;    3,204;    355,1
   99,465;    3,058;      6,1;    402,3;    3,261;    353,7
  102,595;    3,113;      6,2;    400,6;    3,318;    352,6
  105,774;    3,167;      6,3;    398,9;    3,374;    351,5
  109,000;    3,225;      6,4;    396,6;    3,433;    349,8
